cohort	strategy	contrast	gene	recovered	log2FC	padj
14-sample	R3	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
14-sample	R3	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_Ctrl	HCG11	TRUE	9.489399172620429	1.1329634110583162e-4
17-sample	ORIG	gBMF_vs_Ctrl	HCP5	TRUE	9.076511836166485	1.681318349645912e-6
17-sample	ORIG	gBMF_vs_Ctrl	SNHG32	TRUE	9.633046698206497	5.188521471223911e-4
17-sample	ORIG	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.430240791682897	1.8390139186529985e-4
17-sample	ORIG	gBMF_vs_Ctrl	FAM30A	TRUE	5.480356071169594	4.5671323011743116e-4
17-sample	ORIG	gBMF_vs_Ctrl	MIR22HG	TRUE	9.924555253451121	7.338063421854004e-4
17-sample	ORIG	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3411727229131643	0.015969136218361758
17-sample	ORIG	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6037331774897603	8.129265651437372e-4
17-sample	ORIG	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.368250856926399	1.0460909576841222e-4
17-sample	ORIG	gBMF_vs_Ctrl	LINC01036	TRUE	3.2591503638898254	0.0022287097131921813
17-sample	ORIG	gBMF_vs_Ctrl	MALAT1	TRUE	-6.555246742623981	0.0013362975423988283
17-sample	ORIG	uBMF_vs_Ctrl	HCG11	TRUE	8.79116947220912	1.7225231259609903e-4
17-sample	ORIG	uBMF_vs_Ctrl	HCP5	TRUE	8.725648148577406	5.372577739546909e-7
17-sample	ORIG	uBMF_vs_Ctrl	SNHG32	TRUE	9.229419778675313	4.04157845452645e-4
17-sample	ORIG	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.620646236397388	2.1590831883079586e-4
17-sample	ORIG	uBMF_vs_Ctrl	FAM30A	TRUE	5.070900164696743	3.7917738601186615e-4
17-sample	ORIG	uBMF_vs_Ctrl	MIR22HG	TRUE	10.116618284948489	1.915471685619324e-4
17-sample	ORIG	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1807918673018896	0.014519943827905842
17-sample	ORIG	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.242297499758547	0.0017715621158357743
17-sample	ORIG	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5014411736131943	7.439881675096984e-4
17-sample	ORIG	uBMF_vs_Ctrl	LINC01036	TRUE	2.786867513821779	0.004779214095936804
17-sample	ORIG	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	ORIG	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	HCG11	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	HCP5	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	SNHG32	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	PSMB8-AS1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	FAM30A	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	MIR22HG	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3736574235115895	0.013738125762641022
17-sample	STRICT	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6382065888667343	5.822636847867034e-4
17-sample	STRICT	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.4039987516149735	6.784809581864319e-5
17-sample	STRICT	gBMF_vs_Ctrl	LINC01036	TRUE	3.2950322606503475	0.0021376455511822653
17-sample	STRICT	gBMF_vs_Ctrl	MALAT1	TRUE	-6.5197658414540705	2.624380497022476e-8
17-sample	STRICT	uBMF_vs_Ctrl	HCG11	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	HCP5	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	SNHG32	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	PSMB8-AS1	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	FAM30A	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	MIR22HG	FALSE	NA	NA
17-sample	STRICT	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.196653746974587	0.02333079834910992
17-sample	STRICT	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.2608673598656157	0.0021159638329566006
17-sample	STRICT	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5132554531940827	0.001184957891355838
17-sample	STRICT	uBMF_vs_Ctrl	LINC01036	TRUE	2.7954131370822983	0.007290181971551899
17-sample	STRICT	uBMF_vs_Ctrl	MALAT1	TRUE	-4.972519693409125	6.5153694111046895e-6
17-sample	STRICT	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	STRICT	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	R1	gBMF_vs_Ctrl	HCG11	TRUE	9.49284747819711	1.3381152061327592e-4
17-sample	R1	gBMF_vs_Ctrl	HCP5	TRUE	9.079185944490845	2.0543179520961656e-6
17-sample	R1	gBMF_vs_Ctrl	SNHG32	TRUE	9.662487717037566	8.983405807101414e-5
17-sample	R1	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.431762100454039	1.4243142309971845e-4
17-sample	R1	gBMF_vs_Ctrl	FAM30A	TRUE	5.481275492025614	4.6225934907996103e-4
17-sample	R1	gBMF_vs_Ctrl	MIR22HG	TRUE	9.926361513919158	5.924663153876258e-4
17-sample	R1	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.342699439446476	0.011211523619049252
17-sample	R1	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.6053854376323664	4.2327016232614266e-4
17-sample	R1	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.369944990231896	7.92778314555875e-5
17-sample	R1	gBMF_vs_Ctrl	LINC01036	TRUE	3.260829801618883	0.0016062654390600955
17-sample	R1	gBMF_vs_Ctrl	MALAT1	TRUE	-6.5535801161011396	0.0010688810130341552
17-sample	R1	uBMF_vs_Ctrl	HCG11	TRUE	8.794771781242613	2.1103808603969962e-4
17-sample	R1	uBMF_vs_Ctrl	HCP5	TRUE	8.728026833242119	7.427773189272513e-7
17-sample	R1	uBMF_vs_Ctrl	SNHG32	TRUE	9.25900594368537	7.66057093485513e-5
17-sample	R1	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.622427768213484	1.8072911315253795e-4
17-sample	R1	uBMF_vs_Ctrl	FAM30A	TRUE	5.07102804013195	4.1656972139883893e-4
17-sample	R1	uBMF_vs_Ctrl	MIR22HG	TRUE	10.118722751907848	1.5827145847927254e-4
17-sample	R1	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1819328736324413	0.011205970841783066
17-sample	R1	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.243468436911475	0.001026207122114584
17-sample	R1	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.503309813452583	6.281520442038761e-4
17-sample	R1	uBMF_vs_Ctrl	LINC01036	TRUE	2.7892618944866188	0.003784755503369027
17-sample	R1	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	R1	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	R2	gBMF_vs_Ctrl	HCG11	TRUE	9.493503593198637	1.364780774662819e-4
17-sample	R2	gBMF_vs_Ctrl	HCP5	TRUE	9.07973488484722	2.078525757838123e-6
17-sample	R2	gBMF_vs_Ctrl	SNHG32	TRUE	9.662928040826953	9.095523665041095e-5
17-sample	R2	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.432522084496052	1.4410836760499015e-4
17-sample	R2	gBMF_vs_Ctrl	FAM30A	TRUE	5.481870673399194	4.6809587305218444e-4
17-sample	R2	gBMF_vs_Ctrl	MIR22HG	TRUE	9.926468487718179	6.010594444743711e-4
17-sample	R2	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3431994061792714	0.011289047479110012
17-sample	R2	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.605913419092915	4.2803255409208895e-4
17-sample	R2	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.370640659168836	7.97956857214064e-5
17-sample	R2	gBMF_vs_Ctrl	LINC01036	TRUE	3.2613910357117555	0.001612438181154138
17-sample	R2	gBMF_vs_Ctrl	MALAT1	TRUE	-6.553034746033153	0.0010841936488952082
17-sample	R2	uBMF_vs_Ctrl	HCG11	TRUE	8.795141339836608	2.1482911650809184e-4
17-sample	R2	uBMF_vs_Ctrl	HCP5	TRUE	8.728368613207076	7.52057168519495e-7
17-sample	R2	uBMF_vs_Ctrl	SNHG32	TRUE	9.259318069102797	7.772225950843424e-5
17-sample	R2	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.622757694887317	1.823323655426352e-4
17-sample	R2	uBMF_vs_Ctrl	FAM30A	TRUE	5.0717078576346255	4.2263108014529234e-4
17-sample	R2	uBMF_vs_Ctrl	MIR22HG	TRUE	10.118901164362416	1.60097778257588e-4
17-sample	R2	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1822839579797892	0.011303971486410557
17-sample	R2	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.243825494132726	0.001038387043809898
17-sample	R2	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.503610879733698	6.358119172593961e-4
17-sample	R2	uBMF_vs_Ctrl	LINC01036	TRUE	2.7894692204958025	0.003809952602220947
17-sample	R2	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	R2	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
17-sample	R3	gBMF_vs_Ctrl	HCG11	TRUE	9.491280022662739	1.7075420184291265e-4
17-sample	R3	gBMF_vs_Ctrl	HCP5	TRUE	9.078299871098071	3.3954596247444954e-6
17-sample	R3	gBMF_vs_Ctrl	SNHG32	TRUE	9.659953254678978	1.2113002190121144e-4
17-sample	R3	gBMF_vs_Ctrl	PSMB8-AS1	TRUE	11.430308713805328	1.5920111422108136e-5
17-sample	R3	gBMF_vs_Ctrl	FAM30A	TRUE	5.479598647601366	6.915916778429292e-4
17-sample	R3	gBMF_vs_Ctrl	MIR22HG	TRUE	9.924555253451121	7.511711142769663e-4
17-sample	R3	gBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.3411994363380004	0.017195741202219478
17-sample	R3	gBMF_vs_Ctrl	USP3-AS1	TRUE	2.603733714842169	8.485984547525673e-4
17-sample	R3	gBMF_vs_Ctrl	TAGAP-AS1	TRUE	4.3682741000078975	1.4506686912857188e-4
17-sample	R3	gBMF_vs_Ctrl	LINC01036	TRUE	3.2591156941111996	0.002823396905522538
17-sample	R3	gBMF_vs_Ctrl	MALAT1	TRUE	-6.555257623446593	3.663708512649371e-4
17-sample	R3	uBMF_vs_Ctrl	HCG11	TRUE	8.793038464942114	2.5552510219553544e-4
17-sample	R3	uBMF_vs_Ctrl	HCP5	TRUE	8.727432690614263	1.1777633477048696e-6
17-sample	R3	uBMF_vs_Ctrl	SNHG32	TRUE	9.25637142368334	9.708786889665932e-5
17-sample	R3	uBMF_vs_Ctrl	PSMB8-AS1	TRUE	10.620740398100741	2.444922265633581e-5
17-sample	R3	uBMF_vs_Ctrl	FAM30A	TRUE	5.070128489686272	5.934065093049301e-4
17-sample	R3	uBMF_vs_Ctrl	MIR22HG	TRUE	10.116618284948489	1.8791215565696544e-4
17-sample	R3	uBMF_vs_Ctrl	ATP1A1-AS1	TRUE	2.1808160796400555	0.016036654424783154
17-sample	R3	uBMF_vs_Ctrl	USP3-AS1	TRUE	2.2422975207905353	0.0018645970636552108
17-sample	R3	uBMF_vs_Ctrl	TAGAP-AS1	TRUE	3.5014553729291045	0.0010322817908261504
17-sample	R3	uBMF_vs_Ctrl	LINC01036	TRUE	2.7868367985942335	0.006042108954563489
17-sample	R3	uBMF_vs_Ctrl	MALAT1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	HCG11	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	HCP5	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	SNHG32	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	PSMB8-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	FAM30A	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	MIR22HG	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	ATP1A1-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	USP3-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	TAGAP-AS1	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	LINC01036	FALSE	NA	NA
17-sample	R3	gBMF_vs_uBMF	MALAT1	FALSE	NA	NA
